u,w,up,wp,ut,wt,error
0.70970905,0.0052614086,0.22246154,0.047858004,0.228423,0.046185,0.0076344647
0.70970905,0.0052614086,0.22643368,0.04801134,0.232056,0.046365,0.007268667
0.70970905,0.0052614086,0.23040803,0.048051797,0.235829,0.046557,0.006915763
0.70970905,0.0052614086,0.234555,0.048116602,0.239762,0.046761,0.0065625906
0.70970905,0.0052614086,0.23905396,0.048334315,0.243882,0.046977,0.006185353
0.70970905,0.0052614086,0.24370646,0.048567727,0.248219,0.047207,0.005873259
0.70970905,0.0052614086,0.24851789,0.04881762,0.252809,0.047451,0.0056577213
0.70970905,0.0052614086,0.25349307,0.049084753,0.257695,0.04771,0.00557667
0.70970905,0.0052614086,0.25863594,0.049369905,0.26293,0.047985,0.005678974
0.70970905,0.0052614086,0.26395077,0.049673714,0.268579,0.048277,0.006024953
0.70970905,0.0052614086,0.26944005,0.0499969,0.274723,0.048587,0.006692838
0.70970905,0.0052614086,0.2751067,0.05034008,0.281459,0.048919,0.0077733845
0.70970905,0.0052614086,0.28250697,0.050648905,0.288913,0.049272,0.0077829435
0.70970905,0.0052614086,0.294076,0.050837897,0.297241,0.049652,0.0043509044
0.70970905,0.0052614086,0.30576703,0.051050387,0.306647,0.05006,0.0018703602
0.70970905,0.0052614086,0.31757998,0.05128671,0.31739,0.050501,0.00097569823
0.70970905,0.0052614086,0.32951578,0.051547095,0.32981,0.050981,0.00086030364
0.70970905,0.0052614086,0.3415738,0.051831648,0.344357,0.051506,0.0031088553
0.70970905,0.0052614086,0.35375297,0.052140422,0.361628,0.052086,0.007929448
0.70970905,0.0052614086,0.3802729,0.053162426,0.382424,0.05273,0.002583526
0.70970905,0.0052614086,0.41096643,0.054259114,0.407815,0.053455,0.003955532
0.70970905,0.0052614086,0.44192055,0.055273436,0.439222,0.05428,0.003691975
0.70970905,0.0052614086,0.4730923,0.05630699,0.47846,0.055229,0.006445717
0.70970905,0.0052614086,0.5044733,0.057359524,0.527649,0.056336,0.02419918
0.70970905,0.0052614086,0.57225657,0.059301402,0.588738,0.057642,0.01814086
0.70970905,0.0052614086,0.64967805,0.06148883,0.662201,0.059193,0.014818765
0.70970905,0.0052614086,0.72444093,0.063601434,0.744714,0.061028,0.022846524
0.70970905,0.0052614086,0.7965731,0.06563805,0.827314,0.063166,0.033212967
0.70970905,0.0052614086,0.8663979,0.06763178,0.89786,0.06558,0.03351385
0.70970905,0.0052614086,0.9339697,0.06958348,0.94824,0.068202,0.015651792
0.70970905,0.0052614086,0.96662635,0.072074205,0.978575,0.070944,0.0130788535
0.70970905,0.0052614086,0.97225827,0.07496622,0.99413,0.073735,0.023102969
0.70970905,0.0052614086,0.9764175,0.077809244,1.000571,0.076526,0.025436774
0.70970905,0.0052614086,0.9789439,0.08061388,1.00191,0.079287,0.024292968
0.70970905,0.0052614086,0.9787244,0.08343248,1.000525,0.082005,0.023228057
0.70970905,0.0052614086,0.97717977,0.086207554,0.997709,0.084671,0.022065766
0.70970905,0.0052614086,0.9743664,0.08894104,0.994144,0.087282,0.021436632
0.70970905,0.0052614086,0.97034365,0.091634534,0.990183,0.089837,0.021636881
0.70970905,0.0052614086,0.96723807,0.094200134,0.986008,0.092334,0.020636052
0.70970905,0.0052614086,0.9664599,0.09658106,0.981717,0.094776,0.01706218
0.70970905,0.0052614086,0.96465546,0.09892748,0.977358,0.097161,0.014469005
0.70970905,0.0052614086,0.9618837,0.101241305,0.972958,0.099491,0.01282461
0.70970905,0.0052614086,0.9582018,0.10352201,0.968531,0.101767,0.0120841935
0.70970905,0.0052614086,0.9537025,0.10557182,0.964084,0.103989,0.0119643435
0.70970905,0.0052614086,0.9484086,0.107590824,0.95962,0.106157,0.012645222
0.70970905,0.0052614086,0.9423736,0.109581545,0.955141,0.108274,0.014074981
0.16093482,0.10079641,0.17186417,0.10123801,0.160935,0.100796,0.01137118
0.16093482,0.10079641,0.11463392,0.09822982,0.109685,0.099741,0.0064601004
0.16093482,0.10079641,0.06289728,0.095559925,0.06545,0.09851,0.00550279
0.16093482,0.10079641,0.031581867,0.09444332,0.031266,0.09714,0.0030125454
0.16093482,0.10079641,0.00988416,0.093365505,0.007481,0.095675,0.004712654
0.16093482,0.10079641,-0.0046626963,0.09281962,-0.007525,0.094156,0.004198677
0.16093482,0.10079641,-0.012210343,0.091754764,-0.016059,0.092613,0.0047068894
0.16093482,0.10079641,-0.016358543,0.09035459,-0.020217,0.09107,0.004573861
0.16093482,0.10079641,-0.017922599,0.088731915,-0.021567,0.08954,0.0044524837
0.16093482,0.10079641,-0.018197257,0.08720802,-0.021169,0.088032,0.0037957244
0.16093482,0.10079641,-0.017622966,0.08555447,-0.0197,0.086552,0.0030745622
0.16093482,0.10079641,-0.016022582,0.084098,-0.017581,0.085102,0.0025624223
0.16093482,0.10079641,-0.013912518,0.08267424,-0.015067,0.083685,0.002165243
0.16093482,0.10079641,-0.0108654685,0.081305236,-0.012317,0.082301,0.002447294
0.16093482,0.10079641,-0.007634986,0.07996327,-0.009425,0.080949,0.0027757483
0.16093482,0.10079641,-0.0043854006,0.078638524,-0.006449,0.079631,0.0030560764
0.16093482,0.10079641,-0.001196254,0.07733747,-0.003425,0.078346,0.0032372714
0.16093482,0.10079641,0.0018882267,0.076063864,-0.000376,0.077094,0.0032943664
0.16093482,0.10079641,0.0048475377,0.07480918,0.002684,0.075873,0.0032273615
0.16093482,0.10079641,0.0076763444,0.073566124,0.005748,0.074684,0.003046222
0.16093482,0.10079641,0.010376733,0.07232882,0.008809,0.073526,0.0027649142
0.16093482,0.10079641,0.012953561,0.0711008,0.011865,0.072398,0.0023857588
0.16093482,0.10079641,0.015419226,0.06988414,0.014912,0.071301,0.0019240882
0.16093482,0.10079641,0.017794084,0.068675295,0.01795,0.070233,0.0017136242
0.16093482,0.10079641,0.01994313,0.067556456,0.020978,0.069194,0.0026724115
0.16093482,0.10079641,0.022966456,0.0665119,0.023995,0.068183,0.0026996434
0.16093482,0.10079641,0.026130479,0.06545529,0.027001,0.067201,0.002616236
0.16093482,0.10079641,0.029386472,0.06447469,0.029995,0.066246,0.002379844
0.16093482,0.10079641,0.03281484,0.0636312,0.032979,0.065318,0.0018509626
0.16093482,0.10079641,0.036213707,0.06278157,0.035951,0.064417,0.0018981323
