Problem,Folder,Final Error 1,Final Error 2,Hidden Layers,Pinn Info,Batch Size,total_neurons,shape
Bp,simulation118,0.010860453359782696,0.9751511216163635,"[['ReLU', 16], ['LeakyReLU', 16], ['LeakyReLU', 16]]",False,traininig_data/treino_s/,48,rectangle
Bp,simulation275,0.005062174052000046,0.9431768655776978,"[['SiLU', 64], ['LeakyReLU', 64], ['SiLU', 16]]",False,traininig_data/treino_s/,144,bottleneck
Bp,simulation519,0.017573265358805656,0.9455773234367371,"[['ELU', 16], ['Tanh', 32]]",False,traininig_data/treino_s/,48,funnel
Bp,simulation480,0.004595221485942602,1.0391926765441895,"[['LeakyReLU', 64], ['ReLU', 128], ['SiLU', 16]]",False,traininig_data/treino_s/,208,diamond
Bp,simulation328,0.005781895015388727,0.9891945719718933,"[['LeakyReLU', 128], ['LeakyReLU', 16], ['LeakyReLU', 32]]",False,traininig_data/treino_s/,176,bowtie
Bp,simulation615,0.015207911841571331,0.9426553249359131,"[['SiLU', 128], ['ReLU', 128]]",False,traininig_data/treino_s/,256,rectangle
Bp,simulation580,0.012006563134491444,0.9470949769020081,"[['LeakyReLU', 32], ['Tanh', 128]]",False,traininig_data/treino_s/,160,funnel
Bp,simulation315,0.007080148905515671,0.955449640750885,"[['Tanh', 64], ['SiLU', 16], ['ELU', 32]]",False,traininig_data/treino_s/,112,bowtie
Bp,simulation384,0.007435571867972612,0.985167920589447,"[['SiLU', 64], ['LeakyReLU', 16], ['SiLU', 64]]",False,traininig_data/treino_s/,144,bowtie
Bp,simulation268,0.007367616984993219,0.9399153590202332,"[['Tanh', 64], ['SiLU', 32], ['LeakyReLU', 32]]",False,traininig_data/treino_s/,128,bottleneck
Bp,simulation121,0.006083641201257706,1.0333930253982544,"[['ReLU', 64], ['ELU', 64], ['SiLU', 64]]",False,traininig_data/treino_s/,192,rectangle
Bp,simulation690,0.01656293496489525,0.9255108833312988,"[['ELU', 64], ['SiLU', 64]]",False,traininig_data/treino_s/,128,rectangle
Bp,simulation347,0.01441909372806549,0.9460257887840271,"[['ReLU', 64], ['Sigmoid', 16], ['ELU', 128]]",False,traininig_data/treino_s/,208,bowtie
Bp,simulation579,0.01594885066151619,0.9308378100395203,"[['Tanh', 16], ['Sigmoid', 128]]",False,traininig_data/treino_s/,144,funnel
Bp,simulation93,0.006956892553716898,1.0683425664901733,"[['LeakyReLU', 32], ['LeakyReLU', 32], ['LeakyReLU', 128]]",False,traininig_data/treino_s/,192,funnel
Bp,simulation684,0.022210510447621346,0.9115550518035889,"[['ReLU', 32], ['ELU', 32]]",False,traininig_data/treino_s/,64,rectangle
Bp,simulation572,0.011647013016045094,0.880717396736145,"[['ELU', 32], ['Tanh', 64]]",False,traininig_data/treino_s/,96,funnel
Bp,simulation629,0.015611228533089161,0.9547580480575562,"[['ELU', 128], ['ELU', 128]]",False,traininig_data/treino_s/,256,rectangle
Bp,simulation300,0.006194429472088814,0.9365309476852417,"[['LeakyReLU', 128], ['ELU', 16], ['ReLU', 32]]",False,traininig_data/treino_s/,176,bowtie
Bp,simulation589,0.015389700420200825,0.9244097471237183,"[['SiLU', 32], ['SiLU', 64]]",False,traininig_data/treino_s/,96,funnel
Bp,simulation402,0.006467260420322418,1.0520068407058716,"[['ELU', 64], ['SiLU', 128], ['LeakyReLU', 16]]",False,traininig_data/treino_s/,208,diamond
Bp,simulation188,0.008215855807065964,0.9774437546730042,"[['ELU', 16], ['Tanh', 16], ['LeakyReLU', 16]]",False,traininig_data/treino_s/,48,rectangle
Bp,simulation618,0.006590455304831266,0.940109372138977,"[['LeakyReLU', 128], ['Sigmoid', 128]]",False,traininig_data/treino_s/,256,rectangle
Bp,simulation421,0.004678271245211363,0.9938821792602539,"[['ELU', 64], ['LeakyReLU', 128], ['ELU', 32]]",False,traininig_data/treino_s/,224,diamond
Bp,simulation507,0.028895016759634018,0.9200010299682617,"[['ELU', 16], ['SiLU', 32]]",False,traininig_data/treino_s/,48,funnel
Bp,simulation120,0.009712480939924717,0.9727319478988647,"[['SiLU', 16], ['Tanh', 16], ['ReLU', 16]]",False,traininig_data/treino_s/,48,rectangle
Bp,simulation641,0.00957251712679863,0.9492312073707581,"[['LeakyReLU', 64], ['Sigmoid', 64]]",False,traininig_data/treino_s/,128,rectangle
Bp,simulation549,0.015215817838907242,0.9081242680549622,"[['ELU', 32], ['ReLU', 128]]",False,traininig_data/treino_s/,160,funnel
Bp,simulation414,0.004902299493551254,0.9766374230384827,"[['ReLU', 64], ['LeakyReLU', 128], ['LeakyReLU', 16]]",False,traininig_data/treino_s/,208,diamond
Bp,simulation745,0.02646598033607006,0.9692979454994202,"[['ELU', 64], ['ELU', 16]]",False,traininig_data/treino_s/,80,bottleneck
Bp,simulation335,0.005674070678651333,0.9769864082336426,"[['ELU', 128], ['Tanh', 16], ['Sigmoid', 64]]",False,traininig_data/treino_s/,208,bowtie
