Problem,Folder,Final Error 1,Final Error 2,Hidden Layers,Pinn Info,Batch Size,Inf speed,total_neurons,shape
A,simulation519,0.0052333129569888115,0.03894597291946411,"[['ELU', 16], ['Tanh', 32]]",False,N/A,-1.0,48,funnel
A,simulation480,0.0008030961034819484,0.02821412682533264,"[['LeakyReLU', 64], ['ReLU', 128], ['SiLU', 16]]",False,N/A,-1.0,208,diamond
A,simulation328,0.0007301910663954914,0.02048066258430481,"[['LeakyReLU', 128], ['LeakyReLU', 16], ['LeakyReLU', 32]]",False,N/A,-1.0,176,bowtie
A,simulation615,0.0016849644016474485,0.036705970764160156,"[['SiLU', 128], ['ReLU', 128]]",False,N/A,-1.0,256,rectangle
A,simulation580,0.0015321660321205854,0.024110376834869385,"[['LeakyReLU', 32], ['Tanh', 128]]",False,N/A,-1.0,160,funnel
A,simulation315,0.0010957428021356463,0.007923483848571777,"[['Tanh', 64], ['SiLU', 16], ['ELU', 32]]",False,N/A,-1.0,112,bowtie
A,simulation384,0.0011074546491727233,0.0364784300327301,"[['SiLU', 64], ['LeakyReLU', 16], ['SiLU', 64]]",False,N/A,-1.0,144,bowtie
A,simulation268,0.0010648519964888692,0.03761066496372223,"[['Tanh', 64], ['SiLU', 32], ['LeakyReLU', 32]]",False,N/A,-1.0,128,bottleneck
A,simulation121,0.001451239106245339,0.10498350858688354,"[['ReLU', 64], ['ELU', 64], ['SiLU', 64]]",False,N/A,-1.0,192,rectangle
A,simulation690,0.001086319680325687,0.01799488067626953,"[['ELU', 64], ['SiLU', 64]]",False,N/A,-1.0,128,rectangle
A,simulation347,0.0006860202993266284,0.014577433466911316,"[['ReLU', 64], ['Sigmoid', 16], ['ELU', 128]]",False,N/A,-1.0,208,bowtie
A,simulation579,0.0006302881520241499,0.010096192359924316,"[['Tanh', 16], ['Sigmoid', 128]]",False,N/A,-1.0,144,funnel
A,simulation93,0.001309316954575479,0.018512636423110962,"[['LeakyReLU', 32], ['LeakyReLU', 32], ['LeakyReLU', 128]]",False,N/A,-1.0,192,funnel
A,simulation684,0.002146275946870446,0.016253791749477386,"[['ReLU', 32], ['ELU', 32]]",False,N/A,-1.0,64,rectangle
A,simulation572,0.006682140287011862,0.017947636544704437,"[['ELU', 32], ['Tanh', 64]]",False,N/A,-1.0,96,funnel
A,simulation629,0.011899871751666069,0.04203346371650696,"[['ELU', 128], ['ELU', 128]]",False,N/A,-1.0,256,rectangle
A,simulation300,0.002157463924959302,0.03713631629943848,"[['LeakyReLU', 128], ['ELU', 16], ['ReLU', 32]]",False,N/A,-1.0,176,bowtie
A,simulation589,0.001205734210088849,0.02897047996520996,"[['SiLU', 32], ['SiLU', 64]]",False,N/A,-1.0,96,funnel
A,simulation402,0.0011705131037160754,0.058193422853946686,"[['ELU', 64], ['SiLU', 128], ['LeakyReLU', 16]]",False,N/A,-1.0,208,diamond
A,simulation188,0.0008999381097964942,0.01830744743347168,"[['ELU', 16], ['Tanh', 16], ['LeakyReLU', 16]]",False,N/A,-1.0,48,rectangle
A,simulation618,0.0071637495420873165,0.02843630313873291,"[['LeakyReLU', 128], ['Sigmoid', 128]]",False,N/A,-1.0,256,rectangle
A,simulation421,0.000922286999411881,0.02483411878347397,"[['ELU', 64], ['LeakyReLU', 128], ['ELU', 32]]",False,N/A,-1.0,224,diamond
A,simulation507,0.0014651978854089975,0.029177166521549225,"[['ELU', 16], ['SiLU', 32]]",False,N/A,-1.0,48,funnel
A,simulation120,0.000823317444883287,0.01876235008239746,"[['SiLU', 16], ['Tanh', 16], ['ReLU', 16]]",False,N/A,-1.0,48,rectangle
A,simulation641,0.0024676532484591007,0.012088682502508163,"[['LeakyReLU', 64], ['Sigmoid', 64]]",False,N/A,-1.0,128,rectangle
A,simulation549,0.0018494011601433158,0.03398841619491577,"[['ELU', 32], ['ReLU', 128]]",False,N/A,-1.0,160,funnel
A,simulation414,0.0012210047570988536,0.012687385082244873,"[['ReLU', 64], ['LeakyReLU', 128], ['LeakyReLU', 16]]",False,N/A,-1.0,208,diamond
A,simulation745,0.003627406433224678,0.03473260998725891,"[['ELU', 64], ['ELU', 16]]",False,N/A,-1.0,80,bottleneck
A,simulation335,0.0004482400545384735,0.00904780626296997,"[['ELU', 128], ['Tanh', 16], ['Sigmoid', 64]]",False,N/A,-1.0,208,bowtie
A,simulation568,0.0010949864517897367,0.005386531352996826,"[['ELU', 16], ['Sigmoid', 32]]",False,N/A,-1.0,48,funnel
A,simulation419,0.0010407522786408663,0.018288038671016693,"[['ELU', 16], ['ELU', 128], ['LeakyReLU', 32]]",False,N/A,-1.0,176,diamond
A,simulation305,0.0015999445458874106,0.018999218940734863,"[['LeakyReLU', 64], ['Tanh', 16], ['SiLU', 32]]",False,N/A,-1.0,112,bowtie
A,simulation337,0.0007503738161176443,0.0256311297416687,"[['ReLU', 32], ['ReLU', 16], ['SiLU', 64]]",False,N/A,-1.0,112,bowtie
A,simulation97,0.0010075954487547278,0.013327505439519882,"[['Sigmoid', 32], ['ReLU', 32], ['ELU', 64]]",False,N/A,-1.0,128,funnel
A,simulation434,0.0018413567449897528,0.010262519121170044,"[['LeakyReLU', 32], ['Sigmoid', 128], ['Tanh', 32]]",False,N/A,-1.0,192,diamond
A,simulation679,0.0015120470197871327,0.01371859572827816,"[['ELU', 16], ['Sigmoid', 16]]",False,N/A,-1.0,32,rectangle
A,simulation130,0.0013359750155359507,0.025112219154834747,"[['LeakyReLU', 16], ['SiLU', 16], ['Sigmoid', 16]]",False,N/A,-1.0,48,rectangle
A,simulation357,0.0008238055743277073,0.035447925329208374,"[['ELU', 32], ['ELU', 16], ['LeakyReLU', 64]]",False,N/A,-1.0,112,bowtie
A,simulation673,0.006737943738698959,0.026208937168121338,"[['LeakyReLU', 32], ['Tanh', 32]]",False,N/A,-1.0,64,rectangle
A,simulation303,0.0014876704663038254,0.02216644585132599,"[['Tanh', 64], ['SiLU', 16], ['SiLU', 128]]",False,N/A,-1.0,208,bowtie
A,simulation542,0.0008503475110046566,0.04805838316679001,"[['ReLU', 16], ['SiLU', 32]]",False,N/A,-1.0,48,funnel
A,simulation395,0.0008520971168763936,0.01840115711092949,"[['Tanh', 128], ['LeakyReLU', 32], ['SiLU', 64]]",False,N/A,-1.0,224,bowtie
A,simulation327,0.00097308011027053,0.005612075328826904,"[['SiLU', 32], ['Tanh', 16], ['ELU', 32]]",False,N/A,-1.0,80,bowtie
A,simulation718,0.0018799037206918001,0.011282041668891907,"[['LeakyReLU', 64], ['Sigmoid', 32]]",False,N/A,-1.0,96,bottleneck
A,simulation540,0.00140198296867311,0.024362117052078247,"[['Sigmoid', 16], ['LeakyReLU', 64]]",False,N/A,-1.0,80,funnel
A,simulation258,0.0018082642927765846,0.02756093442440033,"[['ELU', 64], ['LeakyReLU', 32], ['ELU', 32]]",False,N/A,-1.0,128,bottleneck
A,simulation288,0.0004862962814513594,0.013316340744495392,"[['Tanh', 32], ['SiLU', 16], ['Sigmoid', 16]]",False,N/A,-1.0,64,bottleneck
A,simulation748,0.0017228664364665747,0.029546380043029785,"[['ReLU', 128], ['ReLU', 64]]",False,N/A,-1.0,192,bottleneck
A,simulation397,0.0008116811513900757,0.010665655136108398,"[['SiLU', 32], ['Sigmoid', 16], ['LeakyReLU', 32]]",False,N/A,-1.0,80,bowtie
A,simulation508,0.0029117115773260593,0.015228211879730225,"[['ReLU', 64], ['Tanh', 128]]",False,N/A,-1.0,192,funnel
A,simulation219,0.0023096317891031504,0.0082358717918396,"[['ELU', 32], ['LeakyReLU', 16], ['Tanh', 16]]",False,N/A,-1.0,64,bottleneck
A,simulation416,0.0009726099669933319,0.016775161027908325,"[['Tanh', 32], ['ReLU', 64], ['ReLU', 16]]",False,N/A,-1.0,112,diamond
A,simulation510,0.00048088887706398964,0.008449137210845947,"[['Sigmoid', 16], ['Sigmoid', 64]]",False,N/A,-1.0,80,funnel
A,simulation734,0.003604535711929202,0.031342409551143646,"[['Tanh', 128], ['ELU', 16]]",False,N/A,-1.0,144,bottleneck
A,simulation39,0.000544042675755918,0.014706868678331375,"[['SiLU', 16], ['ReLU', 16], ['Tanh', 128]]",False,N/A,-1.0,160,funnel
A,simulation634,0.0009173578582704067,0.008444488048553467,"[['Sigmoid', 16], ['Tanh', 16]]",False,N/A,-1.0,32,rectangle
A,simulation506,0.0008940334664657712,0.03330045938491821,"[['SiLU', 64], ['ReLU', 128]]",False,N/A,-1.0,192,funnel
A,simulation594,0.001180993509478867,0.02923477441072464,"[['Tanh', 64], ['LeakyReLU', 128]]",False,N/A,-1.0,192,funnel
A,simulation551,0.0016668604221194983,0.008979618549346924,"[['ReLU', 64], ['Sigmoid', 128]]",False,N/A,-1.0,192,funnel
A,simulation693,0.0013896789168938994,0.014412403106689453,"[['SiLU', 32], ['Sigmoid', 32]]",False,N/A,-1.0,64,rectangle
A,simulation253,0.001250673085451126,0.01900261640548706,"[['ReLU', 128], ['ReLU', 16], ['SiLU', 16]]",False,N/A,-1.0,160,bottleneck
A,simulation795,0.0018075307598337531,0.04560215026140213,"[['ELU', 128], ['ReLU', 64]]",False,N/A,-1.0,192,bottleneck
A,simulation348,0.0007269056513905525,0.013665556907653809,"[['ELU', 32], ['LeakyReLU', 16], ['LeakyReLU', 64]]",False,N/A,-1.0,112,bowtie
A,simulation75,0.0008622383465990424,0.01846817135810852,"[['ReLU', 64], ['Sigmoid', 64], ['Tanh', 128]]",False,N/A,-1.0,256,funnel
A,simulation446,0.0005273238639347255,0.008184194564819336,"[['ReLU', 64], ['Sigmoid', 128], ['Sigmoid', 64]]",False,N/A,-1.0,256,diamond
A,simulation617,0.006432690657675266,0.03457629680633545,"[['ELU', 128], ['Tanh', 128]]",False,N/A,-1.0,256,rectangle
A,simulation56,0.0025039007887244225,0.027090400457382202,"[['ELU', 16], ['ReLU', 64], ['Sigmoid', 128]]",False,N/A,-1.0,208,funnel
A,simulation729,0.0013678406830877066,0.010260164737701416,"[['Tanh', 64], ['SiLU', 32]]",False,N/A,-1.0,96,bottleneck
A,simulation4,0.0007889357511885464,0.026859253644943237,"[['LeakyReLU', 16], ['Tanh', 16], ['LeakyReLU', 32]]",False,N/A,-1.0,64,funnel
A,simulation449,0.0012194603914394975,0.030266642570495605,"[['Tanh', 32], ['LeakyReLU', 128], ['LeakyReLU', 32]]",False,N/A,-1.0,192,diamond
A,simulation550,0.002465986181050539,0.01808619499206543,"[['ELU', 32], ['ELU', 64]]",False,N/A,-1.0,96,funnel
A,simulation290,0.000784238800406456,0.019458264112472534,"[['SiLU', 64], ['ReLU', 32], ['ELU', 16]]",False,N/A,-1.0,112,bottleneck
A,simulation107,0.0006614265730604529,0.03320843726396561,"[['ELU', 16], ['ReLU', 16], ['SiLU', 16]]",False,N/A,-1.0,48,rectangle
A,simulation329,0.00068651232868433,0.013068020343780518,"[['ELU', 64], ['Sigmoid', 32], ['SiLU', 128]]",False,N/A,-1.0,224,bowtie
A,simulation58,0.0013278789119794965,0.03545618802309036,"[['ELU', 32], ['ReLU', 64], ['ReLU', 128]]",False,N/A,-1.0,224,funnel
A,simulation116,0.00113697350025177,0.01021304726600647,"[['LeakyReLU', 32], ['Tanh', 32], ['Tanh', 32]]",False,N/A,-1.0,96,rectangle
A,simulation751,0.0016761028673499823,0.029626164585351944,"[['Sigmoid', 32], ['ELU', 16]]",False,N/A,-1.0,48,bottleneck
A,simulation208,0.0005807251436635852,0.022533386945724487,"[['ReLU', 128], ['ReLU', 64], ['ReLU', 16]]",False,N/A,-1.0,208,bottleneck
A,simulation163,0.0010483640944585204,0.011215806007385254,"[['LeakyReLU', 32], ['SiLU', 32], ['SiLU', 32]]",False,N/A,-1.0,96,rectangle
A,simulation758,0.0012360004475340247,0.018163323402404785,"[['Sigmoid', 32], ['SiLU', 16]]",False,N/A,-1.0,48,bottleneck
A,simulation636,0.002691867295652628,0.014330901205539703,"[['SiLU', 32], ['Tanh', 32]]",False,N/A,-1.0,64,rectangle
A,simulation652,0.0007283237064257264,0.015646353363990784,"[['SiLU', 64], ['SiLU', 64]]",False,N/A,-1.0,128,rectangle
A,simulation232,0.001027698046527803,0.011214328929781914,"[['Sigmoid', 64], ['Tanh', 64], ['ReLU', 16]]",False,N/A,-1.0,144,bottleneck
A,simulation251,0.0009178862674161792,0.04739106073975563,"[['Sigmoid', 64], ['SiLU', 64], ['LeakyReLU', 16]]",False,N/A,-1.0,144,bottleneck
A,simulation336,0.0008662453619763255,0.02013382315635681,"[['SiLU', 64], ['SiLU', 32], ['Sigmoid', 64]]",False,N/A,-1.0,160,bowtie
A,simulation566,0.00071833620313555,0.06278303265571594,"[['ReLU', 16], ['SiLU', 128]]",False,N/A,-1.0,144,funnel
A,simulation601,0.0033370708115398884,0.053066812455654144,"[['Tanh', 32], ['LeakyReLU', 32]]",False,N/A,-1.0,64,rectangle
A,simulation422,0.006440163590013981,0.04463237524032593,"[['ReLU', 32], ['ELU', 64], ['Tanh', 32]]",False,N/A,-1.0,128,diamond
A,simulation24,0.0016965095419436693,0.04644634574651718,"[['ELU', 16], ['ReLU', 16], ['LeakyReLU', 128]]",False,N/A,-1.0,160,funnel
A,simulation411,0.0010191339533776045,0.026881180703639984,"[['SiLU', 64], ['ELU', 128], ['LeakyReLU', 64]]",False,N/A,-1.0,256,diamond
A,simulation175,0.0006441770237870514,0.01621021330356598,"[['ELU', 32], ['Sigmoid', 32], ['Sigmoid', 32]]",False,N/A,-1.0,96,rectangle
A,simulation730,0.000999716343358159,0.03124355897307396,"[['ELU', 64], ['LeakyReLU', 32]]",False,N/A,-1.0,96,bottleneck
A,simulation148,0.000822363595943898,0.036311015486717224,"[['ELU', 16], ['Sigmoid', 16], ['ReLU', 16]]",False,N/A,-1.0,48,rectangle
A,simulation186,0.0008717692689970136,0.010035492479801178,"[['Tanh', 32], ['Tanh', 32], ['LeakyReLU', 32]]",False,N/A,-1.0,96,rectangle
A,simulation312,0.009804083965718746,0.024661540985107422,"[['ELU', 128], ['LeakyReLU', 32], ['Sigmoid', 64]]",False,N/A,-1.0,224,bowtie
A,simulation655,0.002131161279976368,0.027175359427928925,"[['ELU', 128], ['LeakyReLU', 128]]",False,N/A,-1.0,256,rectangle
A,simulation757,0.008725261315703392,0.019234001636505127,"[['Tanh', 128], ['Tanh', 64]]",False,N/A,-1.0,192,bottleneck
A,simulation584,0.001355198211967945,0.015372276306152344,"[['LeakyReLU', 16], ['ReLU', 32]]",False,N/A,-1.0,48,funnel
A,simulation406,0.00074939796468243,0.03651072084903717,"[['ELU', 16], ['ELU', 128], ['ReLU', 64]]",False,N/A,-1.0,208,diamond
A,simulation770,0.001775867072865367,0.025828465819358826,"[['ReLU', 64], ['ELU', 16]]",False,N/A,-1.0,80,bottleneck
A,simulation282,0.00762402405962348,0.013301312923431396,"[['ReLU', 128], ['ELU', 64], ['Tanh', 64]]",False,N/A,-1.0,256,bottleneck
A,simulation465,0.0008357154438272119,0.02379836142063141,"[['LeakyReLU', 32], ['ELU', 64], ['SiLU', 16]]",False,N/A,-1.0,112,diamond
