Problem,Folder,Final Error 1,Final Error 2,Hidden Layers,Pinn Info,Batch Size,total_neurons,shape
B,simulation47,0.0004942349623888731,0.6931908130645752,"[['Tanh', 32], ['Tanh', 64], ['ELU', 128]]",False,256,224,funnel
B,simulation15,0.0005880786920897663,0.8784475326538086,"[['Sigmoid', 32], ['Tanh', 64], ['ReLU', 64]]",False,256,160,funnel
B,simulation70,0.0005176371778361499,0.56488037109375,"[['ELU', 32], ['LeakyReLU', 64], ['LeakyReLU', 64]]",False,256,160,funnel
B,simulation84,0.0007286630570888519,0.687849223613739,"[['Sigmoid', 32], ['SiLU', 64], ['Tanh', 128]]",False,256,224,funnel
B,simulation12,0.0005658910376951098,0.5128895044326782,"[['ELU', 32], ['LeakyReLU', 32], ['LeakyReLU', 128]]",False,256,192,funnel
B,simulation51,0.0007214569486677647,0.7199960947036743,"[['Sigmoid', 16], ['LeakyReLU', 32], ['Tanh', 32]]",False,256,80,funnel
B,simulation77,0.0007330968510359526,0.7562116384506226,"[['ReLU', 16], ['ReLU', 64], ['Tanh', 64]]",False,256,144,funnel
B,simulation106,0.0005231501418165863,0.8629399538040161,"[['SiLU', 32], ['ReLU', 32], ['Sigmoid', 32]]",False,256,96,rectangle
B,simulation23,0.0004016976454295218,0.7399278283119202,"[['ELU', 32], ['Sigmoid', 64], ['SiLU', 128]]",False,256,224,funnel
B,simulation102,0.0008185983169823885,0.9147072434425354,"[['LeakyReLU', 32], ['Tanh', 32], ['ReLU', 32]]",False,256,96,rectangle
B,simulation35,0.0005243897321633995,0.8479093909263611,"[['SiLU', 32], ['Sigmoid', 32], ['ELU', 128]]",False,256,192,funnel
B,simulation45,0.00047574786003679037,0.5435377359390259,"[['ELU', 32], ['Sigmoid', 32], ['Tanh', 64]]",False,256,128,funnel
B,simulation36,0.0007533873431384563,0.6258155703544617,"[['Tanh', 16], ['Tanh', 64], ['Tanh', 64]]",False,256,144,funnel
B,simulation43,0.000638115219771862,0.7321837544441223,"[['LeakyReLU', 16], ['ELU', 32], ['ReLU', 64]]",False,256,112,funnel
B,simulation32,0.0004986964049749076,0.9324842691421509,"[['Sigmoid', 16], ['LeakyReLU', 32], ['Sigmoid', 32]]",False,256,80,funnel
B,simulation96,0.0005537893739528954,0.6686747074127197,"[['Sigmoid', 16], ['LeakyReLU', 64], ['LeakyReLU', 64]]",False,256,144,funnel
B,simulation66,0.0005557633703574538,0.611291229724884,"[['Tanh', 64], ['SiLU', 64], ['Tanh', 128]]",False,256,256,funnel
B,simulation103,0.00102635333314538,0.8072389364242554,"[['LeakyReLU', 16], ['LeakyReLU', 16], ['ReLU', 16]]",False,256,48,rectangle
B,simulation63,0.0003333370841573924,0.6789217591285706,"[['Tanh', 16], ['Sigmoid', 32], ['Sigmoid', 32]]",False,256,80,funnel
B,simulation105,0.00038258303538896143,0.6640949249267578,"[['Sigmoid', 64], ['ELU', 64], ['SiLU', 64]]",False,256,192,rectangle
B,simulation20,0.000798114575445652,0.8584538102149963,"[['Tanh', 16], ['ReLU', 16], ['ELU', 64]]",False,256,96,funnel
B,simulation101,0.0004572743200697005,0.8568726778030396,"[['ReLU', 64], ['ReLU', 64], ['Tanh', 64]]",False,256,192,rectangle
B,simulation33,0.0005568257765844464,0.5807886719703674,"[['ELU', 16], ['SiLU', 32], ['ELU', 128]]",False,256,176,funnel
B,simulation110,0.0005028959712944925,0.6627690196037292,"[['SiLU', 16], ['Tanh', 16], ['Sigmoid', 16]]",False,256,48,rectangle
B,simulation78,0.00046068194205872715,0.7655559182167053,"[['Tanh', 32], ['Sigmoid', 32], ['LeakyReLU', 128]]",False,256,192,funnel
B,simulation72,0.0007255686796270311,0.7086904048919678,"[['SiLU', 32], ['ELU', 32], ['Tanh', 64]]",False,256,128,funnel
B,simulation64,0.0006371532799676061,0.6561903357505798,"[['SiLU', 16], ['ELU', 32], ['ELU', 64]]",False,256,112,funnel
B,simulation91,0.0005956776440143585,0.7029185891151428,"[['LeakyReLU', 16], ['ELU', 64], ['ReLU', 128]]",False,256,208,funnel
B,simulation44,0.00035974098136648536,0.6031069159507751,"[['LeakyReLU', 16], ['Sigmoid', 32], ['Sigmoid', 64]]",False,256,112,funnel
B,simulation108,0.0004017735191155225,0.6544559597969055,"[['ReLU', 64], ['Sigmoid', 64], ['LeakyReLU', 64]]",False,256,192,rectangle
B,simulation89,0.00038364945794455707,0.8006839156150818,"[['Tanh', 16], ['Tanh', 64], ['Sigmoid', 64]]",False,256,144,funnel
B,simulation11,0.0003616383473854512,0.5444852113723755,"[['LeakyReLU', 32], ['Sigmoid', 64], ['ReLU', 128]]",False,256,224,funnel
B,simulation94,0.0003869968932121992,0.6726792454719543,"[['ReLU', 16], ['LeakyReLU', 64], ['Sigmoid', 128]]",False,256,208,funnel
